"`BLCR`_","Berkeley Lab Checkpoint/Restart for LINUX is a kernel-level checkpointer implemented via a loadable kernel module and a userspace library. They use the system to compile, test and debug kernel modules against a range of linux kernels."
"Harvard","Provide a set of tools that help Linux kernel developers understand Linux-kernel memory-ordering restrictions."
"Harvey Mudd College","Observationally Cooperative Multithreading (OCM) provides a ""kinder gentler"" form of concurrency, allowing programmers to imagine that a single thread runs on the machine at any one time. With POWER8 hardware transactional memory, it becomes possible to actually run multiple threads at the same time while *appearing* to be running only one at a time."
"Oswego State University of NY","Uses POWER infrastructure to develop concurrency support components for OpenJDK"
"Portland State University","Test out different configurations of tickless kernel on PPC64"
"Scuola Superiore Sant'Anna (SSSUP)","The Linux kernel exposes subtle and informally specified relaxed-memory semantics to programmers. To understand them and to develop formal models to use in verification, we adopt an empirical approach by testing what results parallel kernel code can actually produce when executed on the hardware. The purpose of this project is to develop and execute a key ingredient of our approach, a tool which takes small 'litmus tests' and generates Linux kernel modules to run them for many iterations, collecting statistics of their behavior."
"Technische Hochschule Nürnberg","Implements native code generation on PowerPC 64-bit little endian for 'The Glorious Glasgow Haskell Compilation System' and as a pre-release for openSUSE and SUSE Linux Enterprise on POWER8 servers"
"University of Alberta","Our goal is to evaluate the support for and experiment with accessing application profiling information during runtime. In particular we are looking to evaluate the performance overhead of accessing the perf APIs during runtime."
"University of Campinas","Conduct research with IBM partners for the MMA Power10 architecture."
"University of Colorado Denver","Provide support for the Numerical Linear Algebra package in LINPACK on POWER architectures"
